Avrora [Beta 1.7.117] - (c) 2003-2007 UCLA Compilers Group

Loading ../bin/aot.elf...OK
=={ Simulation events }=======================================================
Node          Time   Event
------------------------------------------------------------------------------
   0          2473  [avrora.c-print] 1 0000
   0       1439833  [avrora.c-print] 11      emit | [I32.(ComparisonInstruction)]
   0       1447201  [avrora.c-print] 11      emit | [LOCAL.TEE 15]
   0       1450915  [avrora.c-print] 11      emit | pop32 to R22...
   0       1456507  [avrora.c-print] 11      emit | Store R22... to local[40]
   0       1459551  [avrora.c-print] 11      emit | push32
   0       1464279  [avrora.c-print] 11      emit | [I32.STORE 0]
   0       1468239  [avrora.c-print] 11      emit | pop32 val to R22.
   0       1472772  [avrora.c-print] 11      emit | pop32 offset to R18.
   0       1476453  [avrora.c-print] 11      emit | s: 0
   0       1480692  [avrora.c-print] 11      emit | [LOCAL.GET 2]
   0       1485704  [avrora.c-print] 11      emit | Ld R22. from param[60]
   0       1488751  [avrora.c-print] 11      emit | push32
   0       1494798  [avrora.c-print] 11      emit | push/pop optimized
   0       1500172  [avrora.c-print] 11      emit | push/pop optimized
   0       1505244  [avrora.c-print] 11      emit | push/pop optimized
   0       1509654  [avrora.c-print] 11      emit | s: 1
   0       1514127  [avrora.c-print] 11      emit | [LOCAL.GET 14]
   0       1519132  [avrora.c-print] 11      emit | Ld R22. from local[36]
   0       1522176  [avrora.c-print] 11      emit | push32
   0       1525176  [avrora.c-print] 11      emit | s: 2
   0       1530768  [avrora.c-print] 11      emit | [I32.CONST 65535]
   0       1535685  [avrora.c-print] 11      emit | load 65535 to R22.
   0       1538651  [avrora.c-print] 11      emit | push32
   0       1541649  [avrora.c-print] 11      emit | s: 3
   0       1545303  [avrora.c-print] 11      emit | [I32.(logic)]
   0       1549099  [avrora.c-print] 11      emit | s: 2
   0       1553390  [avrora.c-print] 11      emit | [I32.CONST 2]
   0       1557347  [avrora.c-print] 11      emit | load 2 to R22.
   0       1560313  [avrora.c-print] 11      emit | push32
   0       1563311  [avrora.c-print] 11      emit | s: 3
   0       1568821  [avrora.c-print] 11      emit | [I32.Shl | I32ShrS | I32ShrU]
   0       1573215  [avrora.c-print] 11      emit | [I32.ADD]
   0       1576697  [avrora.c-print] 11      emit | pop32 to R22.
   0       1580418  [avrora.c-print] 11      emit | pop32 to R18.
   0       1585415  [avrora.c-print] 11      emit | add32 R22. = R22. + R18.
   0       1588389  [avrora.c-print] 11      emit | push32
   0       1591387  [avrora.c-print] 11      emit | s: 1
   0       1595860  [avrora.c-print] 11      emit | [LOCAL.GET 15]
   0       1600865  [avrora.c-print] 11      emit | Ld R22. from local[40]
   0       1603909  [avrora.c-print] 11      emit | push32
   0       1606909  [avrora.c-print] 11      emit | s: 2
   0       1611396  [avrora.c-print] 11      emit | [I32.STORE 0]
   0       1615356  [avrora.c-print] 11      emit | pop32 val to R22.
   0       1619889  [avrora.c-print] 11      emit | pop32 offset to R18.
   0       1626292  [avrora.c-print] 11      emit | push/pop optimized
   0       1631889  [avrora.c-print] 11      emit | push/pop optimized
   0       1636660  [avrora.c-print] 11      emit | push/pop optimized
   0       1726579  [avrora.c-print] 11      emit | s: 0
